date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:57	9024/9024	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:24:57	11868/11868	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:24:58	17132/17132	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:24:59	58717/58717	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-italic.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:00	10066/10066	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:00	10066/10066	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italicd41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:00	9064/9064	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:01	11876/11876	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:02	17400/17400	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:03	58593/58593	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-200italic.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:03	8716/8716	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:04	8716/8716	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500d41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:05	7884/7884	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:05	10420/10420	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:06	15620/15620	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:07	52187/52187	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
